game,player,hand,value,average face value,nil chance,misdeal,nil
0,north,8S 5S TH 3H KC QC 2C TD 8D 7D 6D 5D 3D,4,0.96,7.08,False,True
0,east,BS AS KS 9S 7S 6S KH 9H 8C 7C 6C AD 9D,18,0.0,10.15,False,False
0,south,LS QS TS 4S QH 7H 6H AC 9C 4C 3C KD JD,13,0.14,9.31,False,False
0,west,DS JS 3S AH JH 8H 5H 4H JC TC 5C QD 4D,0,0.64,8.69,False,True
1,north,KS 6S 4S AH QH TH 8H 6H AC 9C 8C AD JD,10,0.39,9.92,False,False
1,east,LS DS 7S 5S KH 3H KC 4C 2C QD TD 4D 3D,11,0.2,8.23,False,False
1,south,BS QS JS 3S 9H 5H 4H TC 5C KD 9D 7D 6D,10,0.0,8.54,False,False
1,west,AS TS 9S 8S JH 7H QC JC 7C 6C 3C 8D 5D,3,0.42,8.54,False,True
2,north,8S 7H 5H 4H 3H AC QC JC 5C 2C AD 8D 7D,4,1.0,7.69,False,True
2,east,7S AH TH 9H KC 9C 8C 7C 4C 3C 5D 4D 3D,4,1,7.38,False,True
2,south,BS LS QS JS 9S 6S 5S 4S QH 6C KD JD 9D,16,0.0,10.08,False,False
2,west,DS AS KS TS 3S KH JH 8H 6H TC QD TD 6D,8,0.02,10.08,False,False
3,north,QS 9S 8S 7S 9H 5H QC 4C AD QD TD 9D 7D,2,0.42,9.08,False,True
3,east,LS KS TS 6S 3S TH 4H TC 2C KD JD 8D 4D,9,0.16,8.46,False,False
3,south,BS DS AS 4S AH QH JH 7H 6H 9C 6C 3C 3D,9,0.0,9.31,False,False
3,west,JS 5S KH 8H 3H AC KC JC 8C 7C 5C 6D 5D,3,0.8,8.38,False,True
4,north,AS QS 7S 6S 5S 4S AH JH 7H QC 9C QD 8D,9,0.04,9.31,False,False
4,east,KS 9S QH TH 9H 8H JC 4C 3C 2C AD TD 3D,6,0.65,8.31,False,True
4,south,BS TS 8S 6H 4H KC TC 8C 6C 5C KD JD 7D,9,0.0,9.08,False,False
4,west,LS DS JS 3S KH 5H 3H AC 7C 9D 6D 5D 4D,12,0.2,8.54,False,False
5,north,LS JS 8S JH 9H 6H 7C 2C AD KD 7D 5D 4D,5,0.21,8.69,False,False
5,east,7S 5S AH QH TH 8H 4H TC 6C 4C 3C 8D 6D,0,0.96,7.46,False,True
5,south,BS DS KS QS TS 6S KH 5H 9C 8C QD JD 3D,14,0.0,10.31,False,False
5,west,AS 9S 4S 3S 7H 3H AC KC QC JC 5C TD 9D,3,0.34,8.77,False,True
6,north,BS LS AS KS 6S AH 6H JC 7C 6C 4C 6D 4D,20,0.0,9.54,False,False
6,east,TS 8S 4S 3S KH QH 9H 8H 3H QC 8C 5C QD,1,0.6,8.23,False,True
6,south,DS QS 7S 5S TH 5H 4H TC 9C 3C AD TD 7D,6,0.53,8.54,False,True
6,west,JS 9S JH 7H AC KC 2C KD JD 9D 8D 5D 3D,7,0.64,8.92,False,True
7,north,AS KS JS 9S 7S 3S AH QC JC 8C 8D 6D 4D,10,0.0,9.23,False,False
7,east,BS LS QS 8S TH 8H 4H 9C 6C TD 9D 7D 5D,13,0.0,9.31,False,False
7,south,TS 5S 4S QH 7H 5H KC 7C 5C 3C KD JD 3D,6,0.96,7.54,False,True
7,west,DS 6S KH JH 9H 6H 3H AC TC 4C 2C AD QD,6,0.64,9.15,False,True
8,north,AS KS 9S 6S 4S AH KH 5H 4H 4C 3C JD 8D,9,0.04,8.31,False,False
8,east,LS DS QS 5S 3H JC 9C 8C 7C 5C 5D 4D 3D,7,0.17,7.92,False,False
8,south,JS 8S 7S 8H 6H QC 2C AD KD QD 9D 7D 6D,0,0.64,8.85,False,True
8,west,BS TS 3S QH JH TH 9H 7H AC KC TC 6C TD,10,0.0,10.15,False,False
9,north,LS JS 7S KH TH 9H 3H QC JC TC KD QD 9D,12,0.16,10.46,False,False
9,east,KS QS TS 9S 4S 3S JH 7H 4H 9C 8C 4C 4D,4,0.01,7.54,False,False
9,south,BS DS 8S 6S 6H KC 7C 5C 2C AD JD TD 3D,10,0.0,9.0,False,False
9,west,AS 5S AH QH 8H 5H AC 6C 3C 8D 7D 6D 5D,9,0.56,8.23,False,True
10,north,LS DS KS QS JS QH 5H 3H TC 8C 8D 4D 3D,10,0.0,9.23,False,False
10,east,6S KH 9H 8H KC QC 9C 6C 3C 2C AD TD 5D,7,1.0,8.46,False,True
10,south,9S 4S JH TH 4H 7C 5C 4C QD JD 9D 7D 6D,0,0.8,7.62,False,True
10,west,BS AS TS 8S 7S 5S 3S AH 7H 6H AC JC KD,17,0.0,9.92,False,False
11,north,7S 4S AH JH 4H 3H AC 8C 6C 5C 3C AD 5D,6,0.96,7.54,False,True
11,east,AS KS 8S 3S 9H 7H QC JC KD QD 7D 6D 4D,5,0.03,9.15,False,False
11,south,LS DS QS JS TS 9S 8H 5H KC 4C TD 9D 3D,10,0.0,9.62,False,False
11,west,BS 6S 5S KH QH TH 6H TC 9C 7C 2C JD 8D,8,0.0,8.92,False,False
12,north,DS KS TS 5S 8H 6H 5H AC 8C 7C 5C 4C 5D,2,0.49,8.08,False,True
12,east,7S 6S 4S KH TH 7H 4H 3H 3C 2C AD 6D 3D,4,1,6.31,False,True
12,south,LS AS 9S 3S AH QH KC QC JC TC QD TD 8D,15,0.06,11.08,False,False
12,west,BS QS JS 8S JH 9H 9C 6C KD JD 9D 7D 4D,8,0.0,9.77,False,False
13,north,BS QS 8S AH 6H 5H 4H AC JC 6C 4C QD 6D,12,0.0,9.15,False,False
13,east,AS KS 9S 7S 6S 3S TH 7H 7C 5C TD 9D 4D,5,0.01,8.0,False,False
13,south,DS JS 4S KH JH 8H 3H QC TC 2C KD 5D 3D,6,0.8,8.46,False,True
13,west,LS TS 5S QH 9H KC 9C 8C 3C AD JD 8D 7D,9,0.21,9.62,False,False
14,north,JS 4S KH 8H 5H 4H AC 8C 3C AD QD JD 3D,8,0.8,8.46,False,True
14,east,LS KS QS TH 6H 9C 4C 2C TD 9D 8D 6D 5D,9,0.08,8.46,False,False
14,south,BS TS 8S 3S AH JH 9H 3H QC TC 6C KD 4D,12,0.0,9.23,False,False
14,west,DS AS 9S 7S 6S 5S QH 7H KC JC 7C 5C 7D,5,0.11,9.08,False,False
15,north,KS TS 9S 5S JH TH 5H JC TC 5C 4C KD 8D,5,0.39,8.77,False,True
15,east,LS 8S 7S AH 9H 7H 6H 4H 3H KC 9C 6D 5D,8,0.26,8.23,False,False
15,south,BS AS JS 6S 3S KH 8H AC 6C 2C QD TD 3D,17,0.0,9.15,False,False
15,west,DS QS 4S QH QC 8C 7C 3C AD JD 9D 7D 4D,2,0.56,9.08,False,True
16,north,AS 9S 8S 5S 3S KH TH 9H 8H 4H 3H KD QD,6,0.42,8.54,False,True
16,east,DS QS 7H KC QC JC TC 7C 6C 3C TD 7D 3D,2,0.56,8.92,False,True
16,south,BS JS 4S JH 6H AC 9C 8C 2C 9D 8D 6D 5D,8,0.0,8.46,False,False
16,west,LS KS TS 7S 6S AH QH 5H 5C 4C AD JD 4D,16,0.13,9.31,False,False
17,north,LS TS 7S 6S 5S 4S KH JH 6H 3H TC 6D 4D,7,0.07,7.77,False,False
17,east,KS 9S 3S QH 4H AC 8C 6C AD QD TD 7D 5D,6,0.52,9.0,False,True
17,south,QS JS AH TH 8H KC JC 9C 2C KD 9D 8D 3D,10,0.31,9.46,False,False
17,west,BS DS AS 8S 9H 7H 5H QC 7C 5C 4C 3C JD,9,0.0,9.0,False,False
18,north,BS 7S 8H 7H 4H AC KC JC 2C 8D 6D 5D 3D,10,0.0,8.08,False,False
18,east,JS 9S 8S 6S 4S AH JH TH 3H 7C 5C AD 4D,6,0.6,8.15,False,True
18,south,DS AS KH QC TC 9C 8C 6C 4C KD JD 9D 7D,5,0.11,10.08,False,False
18,west,LS KS QS TS 5S 3S QH 9H 6H 5H 3C QD TD,9,0.0,8.92,False,False
19,north,LS QS TH 7H KC QC TC 9C 7C 3C AD KD JD,14,0.14,10.54,False,False
19,east,JS TS 6S 4S 3S 6H 5H 4H 3H JC 8C 8D 4D,0,0.84,6.38,False,True
19,south,AS KS 9S 8S 5S KH QH 5C QD 9D 7D 5D 3D,8,0.03,8.85,False,False
19,west,BS DS 7S AH JH 9H 8H AC 6C 4C 2C TD 6D,10,0.0,9.46,False,False
20,north,BS LS AS 8S 7S 6S 7H KC 6C 5C AD JD 7D,21,0.0,10.08,False,False
20,east,DS 5S 4S 8H 6H 3H 8C 4C TD 9D 8D 4D 3D,0,0.96,6.69,False,True
20,south,KS QS JS 3S AH QH 5H 4H AC 9C 7C KD 5D,13,0.01,9.38,False,False
20,west,TS 9S KH JH TH 9H QC JC TC 3C 2C QD 6D,2,0.64,9.08,False,True
21,north,LS 9S AH QH 7H AC TC 9C 4C KD QD TD 4D,14,0.16,10.31,False,False
21,east,3S KH JH TH 8H 5H 3H JC 8C 5C JD 8D 7D,0,1.0,7.92,False,True
21,south,BS JS TS 8S 5S 4S 4H QC 3C 9D 6D 5D 3D,6,0.0,7.46,False,False
21,west,DS AS KS QS 7S 6S 9H 6H KC 7C 6C 2C AD,13,0.0,9.54,False,False
22,north,8S 6S AH KH JH TH 7H 6H 9D 8D 6D 4D 3D,0,0.8,8.08,False,True
22,east,DS JS 9S 7S 4S 9H 8H JC 5C 4C 2C AD 7D,4,0.6,8.15,False,True
22,south,BS TS 5S 3S 5H 3H AC KC QC 7C 6C QD JD,6,0.0,9.08,False,False
22,west,LS AS KS QS QH 4H TC 9C 8C 3C KD TD 5D,15,0.0,9.92,False,False
23,north,KS 9S 7S 4S 3S 7H 6H KC QC 9C 8C 5D 4D,4,0.49,7.69,False,True
23,east,BS 8S 5S AH TH 5H JC 5C 3C 2C AD 8D 3D,14,0.0,8.08,False,False
23,south,LS DS AS TS 6S KH JH 4H 3H TC 6C TD 9D,10,0.08,9.77,False,False
23,west,QS JS QH 9H 8H AC 7C 4C KD QD JD 7D 6D,7,0.31,9.69,False,False
24,north,LS AS 7S 6S AH TH 6H 4H AC 9C 8C 2C 7D,12,0.11,9.0,False,False
24,east,3S KH 8H JC TC 7C TD 9D 8D 6D 5D 4D 3D,3,1,7.46,False,True
24,south,KS QS JS TS 9S 7H 5H 3H KC 6C 4C 3C AD,10,0.0,8.46,False,False
24,west,BS DS 8S 5S 4S QH JH 9H QC 5C KD QD JD,11,0.0,10.31,False,False
25,north,7S 7H AC 7C 6C 4C 3C 2C JD TD 9D 7D 3D,0,1,6.92,False,True
25,east,BS AS KS QS KH QH 6H JC 8C 5C AD QD 4D,22,0.0,10.85,False,False
25,south,DS JS 9S 5S AH JH TH 9H 5H 3H QC KD 6D,3,0.48,9.46,False,True
25,west,LS TS 8S 6S 4S 3S 8H 4H KC TC 9C 8D 5D,8,0.07,8.0,False,False
26,north,LS AH KH QH 4H 3H AC 9C 8C 7C 6C 4C 3C,7,0.26,8.69,False,False
26,east,QS TS 8S 7S 6S 5S JH 5H AD KD JD 8D 3D,2,0.14,8.69,False,True
26,south,AS KS 9S 3S TH JC TC 5C 2C QD TD 9D 6D,5,0.03,8.77,False,False
26,west,BS DS JS 4S 9H 8H 7H 6H KC QC 7D 5D 4D,9,0.0,9.08,False,False
27,north,BS DS QS JS 4S QH JH 4H JC 8C JD 9D 4D,9,0.0,9.92,False,False
27,east,6S 8H 6H AC KC QC 9C 7C 4C 3C AD KD 3D,7,1.0,8.62,False,True
27,south,LS TS 9S 8S 5S 3S 9H TC 6C 2C QD TD 8D,6,0.07,8.31,False,False
27,west,AS KS 7S AH KH TH 7H 5H 3H 5C 7D 6D 5D,5,0.05,8.38,False,False
28,north,LS QS TS 8S KH QH 3H 6C JD 8D 7D 6D 3D,11,0.14,8.85,False,False
28,east,JS 9S AH 9H 5H 4H AC 9C 4C 3C QD 9D 5D,5,0.8,8.31,False,True
28,south,KS 6S 4S TH 8H 7H QC JC TC 8C 2C TD 4D,2,0.65,8.08,False,True
28,west,BS DS AS 7S 5S 3S JH 6H KC 7C 5C AD KD,19,0.0,10.0,False,False
29,north,BS QS TS 8S 3S QH KC 9C 8C 5C AD KD 3D,17,0.0,9.77,False,False
29,east,LS DS KS 9S 7S JH TH 9H 8H JC TC 6C 7D,7,0.1,10.15,False,False
29,south,JS 6S 5S 4S AH 6H 5H 4H 4C 3C TD 6D 4D,2,0.84,6.31,False,True
29,west,AS KH 7H 3H AC QC 7C 2C QD JD 9D 8D 5D,6,0.56,9.0,False,True
30,north,KS QS 9S AH QH 9H 8H 6H 8C 7C 2C AD KD,11,0.14,9.77,False,False
30,east,BS LS 6S 3S JH 7H KC TC QD TD 6D 5D 3D,14,0.0,9.15,False,False
30,south,AS 8S 7S 4S KH TH 4H 3H 6C 5C 4C 3C JD,5,0.5,7.08,False,True
30,west,DS JS TS 5S 5H AC QC JC 9C 9D 8D 7D 4D,2,0.48,9.23,False,True
31,north,KS 8S 3S 7H AC KC JC 7C 5C 4C AD KD 7D,9,0.52,9.15,False,True
31,east,AS QS 5S 4S KH JH TH 9H 5H 3H TC 9C 6C,5,0.15,8.54,False,False
31,south,BS LS DS 6S AH QH 6H QC 8C 2C JD 9D 3D,17,0.0,10.08,False,False
31,west,JS TS 9S 7S 8H 4H 3C QD TD 8D 6D 5D 4D,0,0.22,7.46,False,True
32,north,DS QS 6S 4S JH QC 7C 6C 5C QD JD 9D 4D,2,0.42,8.77,False,True
32,east,LS KS JS 9S 8S 7S KH QH TH 5H TC 4C 7D,9,0.02,9.62,False,False
32,south,BS AS TS AH 9H 3H 9C 8C 3C TD 8D 6D 3D,13,0.0,8.77,False,False
32,west,5S 3S 8H 7H 6H 4H AC KC JC 2C AD KD 5D,11,0.8,8.08,False,True
33,north,TS 7S 6S 3S QC JC 8C 2C AD KD QD JD 6D,0,0.48,8.85,False,True
33,east,DS KS 9S 5S 4S AH 8H 7H 5H 3H AC 6C 9D,6,0.49,8.62,False,True
33,south,BS LS KH QH 9H TC 9C 7C 5C TD 5D 4D 3D,15,0.0,9.23,False,False
33,west,AS QS JS 8S JH TH 6H 4H KC 4C 3C 8D 7D,8,0.08,8.54,False,False
34,north,AS QS 8S 6S 5S 7H 4H KD QD 8D 6D 5D 3D,5,0.15,7.92,False,False
34,east,BS DS 9S QH TH 8H 5H 3H KC JC 9C 3C 9D,8,0.0,9.54,False,False
34,south,KS JS 7S KH JH 6H TC 5C 4C 2C TD 7D 4D,5,0.36,7.92,False,True
34,west,LS TS 4S 3S AH 9H AC QC 8C 7C 6C AD JD,13,0.12,9.85,False,False
35,north,LS TS 7S 5S QH 5H 4H AC 6C 5C 3C 2C 7D,6,0.24,7.38,False,False
35,east,KS 3S JH 6H 3H KC QC 4C KD JD TD 9D 8D,6,0.52,8.92,False,True
35,south,QS 4S KH 9H 7H JC TC 7C AD QD 6D 5D 3D,5,0.56,8.69,False,True
35,west,BS DS AS JS 9S 8S 6S AH TH 8H 9C 8C 4D,13,0.0,10.23,False,False
36,north,BS AS 3S AH KH 9H 5H 7C AD TD 5D 4D 3D,13,0.0,9.08,False,False
36,east,DS KS QS TS 9S 7S AC TC 4C 2C KD 9D 6D,9,0.01,9.54,False,False
36,south,LS 8S 6S QH TH 8H 7H 4H 9C 6C 5C 3C JD,5,0.26,8.08,False,True
36,west,JS 5S 4S JH 6H 3H KC QC JC 8C QD 8D 7D,3,0.8,8.54,False,True
37,north,9S 5S 4S TH 9H 7H 4H AC 9C 3C AD TD 3D,8,0.8,7.77,False,True
37,east,BS LS AS TS 6S AH QH 8H 6H 3H KC 4C QD,17,0.0,10.38,False,False
37,south,DS JS KH 5H TC 8C 7C 6C 5C 2C KD JD 8D,6,0.64,8.77,False,True
37,west,KS QS 8S 7S 3S JH QC JC 9D 7D 6D 5D 4D,4,0.18,8.31,False,False
38,north,DS KS 5S 4S 3S AH 4H AC KC 9C 8C 7C 3D,6,0.49,8.62,False,True
38,east,AS QS 9S 8S 7S KH QH TH 3H QC QD 9D 7D,8,0.09,9.85,False,False
38,south,9H 6H JC TC 5C 4C 3C 2C AD KD TD 6D 5D,0,1,7.54,True,True
38,west,BS LS JS TS 6S JH 8H 7H 5H 6C JD 8D 4D,11,0.0,9.23,False,False
39,north,KS QS JS 9S AH QH 7H 6H 9C 7C 6C 5C KD,6,0.0,9.54,False,False
39,east,AS 7S 4S 3S TH QC JC 2C JD 8D 7D 6D 4D,4,0.42,7.62,False,True
39,south,BS TS JH 8H 4H KC 8C 4C AD QD 9D 5D 3D,9,0.0,9.08,False,False
39,west,LS DS 8S 6S 5S KH 9H 5H 3H AC TC 3C TD,11,0.16,9.0,False,False
40,north,DS 3S TH 9H 8H 6H AC KC QC 8C 5C AD 4D,4,0.64,9.31,False,True
40,east,LS AS 8S 7S 6S 5S AH QH 9C 3C 2C 8D 6D,12,0.05,8.46,False,False
40,south,BS TS 4S KH JH 7H 3H JC TD 9D 7D 5D 3D,8,0.0,8.46,False,False
40,west,KS QS JS 9S 5H 4H TC 7C 6C 4C KD QD JD,8,0.0,9.0,False,False
41,north,AS 9S 8S 4S KH 7H 7C 6C 5C QD JD TD 8D,6,0.34,8.77,False,True
41,east,QS TS 7S 5S 9H 6H 3H QC TC 9C 4C AD 5D,6,0.53,8.15,False,True
41,south,LS 3S QH JH 4H AC KC JC 8C KD 9D 7D 6D,12,0.16,9.77,False,False
41,west,BS DS KS JS 6S AH TH 8H 5H 3C 2C 4D 3D,10,0.0,8.54,False,False
42,north,JS 8S 4S KH JH TH 9H 8H 6H AC QC AD 6D,8,0.64,9.69,False,True
42,east,BS LS AS KS 3S 8C 3C KD QD JD 8D 7D 5D,16,0.0,10.0,False,False
42,south,DS TS 7S 6S AH 7H 3H KC JC 6C 4C TD 4D,6,0.6,8.46,False,True
42,west,QS 9S 5S QH 5H 4H TC 9C 7C 5C 2C 9D 3D,3,0.84,7.08,False,True
43,north,BS KS AH QH 6H 5H QC 7C 4C JD 9D 7D 3D,11,0.0,9.23,False,False
43,east,DS QS 7S 3S KH TH 4H 3H KC JC 8C 6C 5C,4,0.53,8.46,False,True
43,south,LS AS JS 9S 5S 4S JH TC 3C AD QD 8D 6D,10,0.04,9.46,False,False
43,west,TS 8S 6S 9H 8H 7H AC 9C 2C KD TD 5D 4D,6,0.8,8.08,False,True
44,north,KS JS 7S AH 5H AC 2C AD JD TD 9D 7D 5D,10,0.29,9.38,False,False
44,east,4S KH QH JH 8H 7H 6H 3H KC 6C 5C 4C 4D,5,1,7.38,False,True
44,south,BS DS AS QS 6S 5S 3S TH 9H 4H 9C 7C 6D,11,0.0,9.0,False,False
44,west,LS TS 9S 8S QC JC TC 8C 3C KD QD 8D 3D,7,0.16,9.46,False,False
45,north,KS QS 5S 5H KC TC 7C 5C 2C JD 8D 7D 5D,4,0.23,7.92,False,True
45,east,BS LS AS 6S JH 9H 7H 6H 3H 9C AD QD 9D,19,0.0,10.23,False,False
45,south,JS TS 8S 7S KH QH TH 4H AC QC 8C 6C 4D,4,0.48,9.15,False,True
45,west,DS 9S 4S 3S AH 8H JC 4C 3C KD TD 6D 3D,6,0.6,7.92,False,True
46,north,BS LS 9S 8S AH 9H 7H AC AD JD 9D 8D 7D,19,0.0,11.0,False,False
46,east,DS KS 7S TH 6H 4H 3H JC 6C 3C 2C 6D 3D,2,0.78,6.85,False,True
46,south,AS QS 6S 4S KH QH JH 8H 5H QC 4C QD 5D,5,0.12,9.08,False,False
46,west,JS TS 5S 3S KC TC 9C 8C 7C 5C KD TD 4D,3,0.6,8.31,False,True
47,north,BS LS 9S 7H 6H 3H AC KC 9C 6C 3C 9D 7D,11,0.0,9.15,False,False
47,east,KS QS TS 5S AH KH QH 7C 5C 2C KD JD 3D,15,0.03,9.23,False,False
47,south,AS JS 8S JH 5H 4H QC JC 8C QD 8D 6D 4D,4,0.45,8.77,False,True
47,west,DS 7S 6S 4S 3S TH 9H 8H TC 4C AD TD 5D,4,0.6,8.08,False,True
48,north,LS KS JS TS 6S 9H 8H 6H 5H AC 4C 3C AD,15,0.0,9.15,False,False
48,east,BS DS 8S AH KH 7H QC 8C 6C 7D 5D 4D 3D,14,0.0,9.15,False,False
48,south,AS 7S 5S 4S 3S QH 3H JC 5C 2C KD JD 6D,6,0.5,7.38,False,True
48,west,QS 9S JH TH 4H KC TC 9C 7C QD TD 9D 8D,4,0.56,9.54,False,True
49,north,BS DS TS 3S 6H 5H 4H JC 8C 7C 6C 7D 6D,6,0.0,8.08,False,False
49,east,JS 8S 6S 9H 7H KC QC 3C AD KD QD TD 5D,4,0.64,9.46,False,True
49,south,KS QS 4S QH JH 3H TC 9C 5C 2C 9D 8D 3D,5,0.23,7.77,False,False
49,west,LS AS 9S 7S 5S AH KH TH 8H AC 4C JD 4D,16,0.08,9.92,False,False
50,north,DS AS 8S 7S 5S KH 8H AC KC 4C 8D 5D 4D,13,0.34,9.08,False,False
50,east,LS KS TH 9H 7H 4H TC 9C 7C QD JD 7D 6D,7,0.17,9.31,False,False
50,south,BS TS 6S 3S QH JH 6H 3H JC 5C 2C AD KD,13,0.0,8.69,False,False
50,west,QS JS 9S 4S AH 5H QC 8C 6C 3C TD 9D 3D,6,0.09,8.15,False,False
51,north,AS QS 8S 7S 5S 4S 9H 3H JC 7C TD 8D 6D,5,0.05,8.0,False,False
51,east,DS KS JS 3S QC 9C 8C 2C KD QD 9D 5D 4D,2,0.21,8.92,False,True
51,south,LS 6S KH QH JH 7H 4H AC KC TC 6C 7D 3D,9,0.21,9.38,False,False
51,west,BS TS 9S AH TH 8H 6H 5H 5C 4C 3C AD JD,10,0.0,8.92,False,False
